MDS1,MDS2,MDS3,valence,arousal,videoName
-2.682254817,0.680116938,0.657337634,2.2222,5.5556,0001.mp4
-0.839823968,-2.01115425,1.02575967,4.7778,7.3333,0022.mp4
-1.593624884,1.470738609,-1.395704177,3.1111,5.1111,0059.mp4
-2.593353801,1.342421778,-1.282497179,1.4444,4,0062.mp4
0.649862634,-1.417735182,0.341346251,6.1111,5.5556,0088.mp4
0.34898166,-0.069124971,-2.601425026,7.3333,7.7778,0176.mp4
-1.376140664,-2.11733821,-2.376899437,1,5,0187.mp4
-2.060410108,-0.762364148,1.799763559,1.8889,5.5556,0208.mp4
0.45112377,-1.687436741,1.382215544,5.5556,6.2222,0283.mp4
1.434574698,-1.365090017,-1.875747114,6.4444,5,0360.mp4
1.875020229,1.30771566,-0.843117759,6.5556,5.2222,0404.mp4
-1.59894444,-1.350603682,-0.028678815,4,6.7778,0500.mp4
-0.24318872,1.448482322,-2.482670183,3.6667,5,0510.mp4
-0.781701291,-0.189041716,2.905866201,1.7778,4.6667,0512.mp4
-0.360899243,1.806042524,2.112138027,4.2222,4.2222,0523.mp4
-3.202773152,-0.109496333,0.092717135,2.1111,5,0532.mp4
1.693979317,1.836405084,0.943271551,8,6.5556,0534.mp4
1.773417811,-1.338352509,-0.098263785,7.4444,6.8889,0540.mp4
-2.11413051,-0.001798199,-0.308564414,2.3333,5.1111,0554.mp4
0.42762058,2.284780027,-0.529466375,7.4444,6.7778,0570.mp4
0.710347672,-0.088321083,2.353570472,5.2222,6,0575.mp4
-2.408443702,-0.778705414,-0.98569606,1.4444,4.8889,0667.mp4
-2.106570702,-1.420289768,-2.149505534,1.7778,6,0865.mp4
-2.592386298,0.68494872,-1.194066831,3.6667,5.4444,0913.mp4
1.994426077,1.794588207,-0.140628325,7.6667,5.6667,0927.mp4
1.489145623,-2.653576298,0.114260153,6.7778,6.3333,0936.mp4
1.124947464,2.36680737,-1.292251742,5.4444,5.5556,0951.mp4
1.964314931,-0.738019622,-2.230713271,7,5.8889,0960.mp4
-1.576172395,2.059041419,-0.671588653,2.7778,6.1111,0977.mp4
1.648209234,-0.031859981,2.006442009,4.7778,5.8889,0990.mp4
2.385486808,0.239148134,0.80671811,7.8889,5.8889,1009.mp4
-0.032203317,-1.739931543,-1.139136466,3.5556,6.3333,1037.mp4
1.216294178,-0.514604543,-2.465667488,8.7778,4.8889,1071.mp4
1.013556469,-2.791786401,-1.369099883,5.7778,5.1111,1078.mp4
1.499693936,0.869101645,2.087708398,6.5556,6.4444,1082.mp4
2.180837629,1.260094911,-0.17315326,8,7,1086.mp4
0.183246241,2.426503688,1.374942411,6.2222,6.1111,1100.mp4
2.349008212,0.152135999,0.154738671,7.4444,5.7778,1158.mp4
-0.578582924,2.504444812,-0.720844031,4,6.3333,1169.mp4
-2.595292128,0.365929801,1.801738045,1.2222,5.7778,1174.mp4
1.838197077,-1.90782807,-1.343267689,6.7778,7,1175.mp4
1.596219118,-0.957557609,0.060415111,7,6,1210.mp4
-2.695868682,-1.963154067,0.057337396,1.6667,5.7778,1292.mp4
2.311740292,-2.480804881,0.859052474,7.6667,6.7778,1337.mp4
-3.171254805,1.796923,0.060423065,1.7778,6.8889,1362.mp4
2.614714442,0.375222817,-2.042563427,6.7778,3.2222,1372.mp4
-0.977306914,-1.402898597,-1.540878341,2.4444,7.5556,1375.mp4
-0.183533425,-0.76697556,-1.17598442,5,6.4444,1440.mp4
2.263806536,1.263739516,1.180364844,5,5.3333,1469.mp4
0.175272761,2.277517685,-1.648820161,4.7778,5,1528.mp4
-0.089149217,0.64847663,2.207839167,2.5556,3.3333,1532.mp4
-1.391691194,-1.191562612,2.130604229,4.1111,5.6667,1544.mp4
1.134854744,1.282028872,1.242507046,5.3333,5.2222,1567.mp4
1.553785309,-0.959007224,2.019127263,6.1111,6,1581.mp4
1.309958973,-2.601687367,1.708684266,6.5556,6.4444,1610.mp4
1.767887472,0.040331263,-0.873443639,6.3333,6,1625.mp4
-1.892461575,-0.203163707,-2.329927451,1.8889,5,1630.mp4
-2.27666475,-1.077738101,0.039975789,1.7778,6.1111,1632.mp4
0.792103625,2.382877662,0.632357264,6.8889,6.6667,1693.mp4
-1.844783283,0.72192363,-1.972760665,1.5556,5.7778,1703.mp4
0.894612607,0.364471306,-2.673219359,5.8889,4.1111,1760.mp4
-1.382045227,-2.258979494,-0.474726921,3.2222,5,1768.mp4
1.717566462,1.237278784,-1.933109766,7.5556,6.4444,1789.mp4
2.576601961,-0.919902836,1.47866053,5.5556,5.4444,1791.mp4
2.75505036,-0.756024815,-0.829249904,7.8889,7.6667,1826.mp4
0.598490034,-1.087255059,2.84941934,5.5556,6.2222,1939.mp4
-1.551171559,1.133293284,0.421529372,6.5556,6.5556,1941.mp4
-2.016173569,1.660966918,1.755931498,3.7778,5.7778,1943.mp4
-0.924983198,0.954759198,2.593090291,3.7778,5.4444,2090.mp4
-1.610036012,-1.996553116,1.476191706,3,7.1111,2120.mp4
-2.107278467,-0.722298314,1.11473752,3,5.4444,2135.mp4
-0.125729321,2.354105879,0.733538007,3.6667,4.1111,2136.mp4
2.563777418,1.252837397,0.317971414,8.1111,7.2222,2138.mp4
-0.516979669,2.31169703,-0.054274776,4.7778,6.3333,2148.mp4
-0.784726435,-2.527876477,0.347320893,4.2222,5.7778,2151.mp4
