MDS1,MDS2,MDS3,valence,arousal
-2.528994157,1.304370495,0.547422069,2.2222,5.5556
-0.750681094,1.670332801,0.096951161,4.7778,7.3333
-1.959167067,-1.935201222,-0.791477339,3.1111,5.1111
-3.227161601,-0.15755417,0.517524429,1.4444,4
0.664665489,0.371611437,2.596007226,6.1111,5.5556
0.521193775,-1.085450728,-2.356545418,7.3333,7.7778
-1.802997122,2.876326612,-1.385105363,1,5
-2.943244694,-1.273689852,0.346647922,1.8889,5.5556
1.086979158,-1.155809439,1.981153055,5.5556,6.2222
0.436071951,-0.632818228,-2.740638408,6.4444,5
1.295524273,-1.720946861,-0.808031194,6.5556,5.2222
-1.640436174,1.784085039,1.418358821,4,6.7778
-1.74332539,-2.306059219,-1.577244209,3.6667,5
-0.983229569,1.516075881,-2.41372754,1.7778,4.6667
0.575195895,2.415784156,-1.880176971,4.2222,4.2222
-3.028311964,0.142402157,-0.853510881,2.1111,5
1.888497045,-1.431985151,1.023206573,8,6.5556
0.827098746,1.000263254,-0.001389829,7.4444,6.8889
-1.784777074,0.633292788,1.935151509,2.3333,5.1111
0.698998187,-1.7219378,1.578615111,7.4444,6.7778
1.113442377,1.398207462,2.191669764,5.2222,6
-2.643513649,0.005095364,-2.019048991,1.4444,4.8889
-2.10563496,0.935227329,-2.480204877,1.7778,6
-1.348016154,2.513473823,0.076256413,3.6667,5.4444
2.120506014,-1.635503622,0.054921718,7.6667,5.6667
2.40719572,0.925853693,1.753542955,6.7778,6.3333
2.293709748,-0.602083194,2.254993645,5.4444,5.5556
2.794049494,-0.657517987,-1.448435695,7,5.8889
-1.606315357,-2.36673913,0.58686604,2.7778,6.1111
1.297863329,0.379039605,-1.584685388,4.7778,5.8889
2.29528458,-0.228911479,-0.223536708,7.8889,5.8889
-0.013870814,1.337394178,2.108373743,3.5556,6.3333
1.741809655,1.862274835,-1.745636384,8.7778,4.8889
1.04674838,-2.770247159,-1.824585557,5.7778,5.1111
0.426225978,-1.102300885,2.484308617,6.5556,6.4444
2.738009716,-0.911970948,0.592571126,8,7
0.017009006,-3.040160995,0.287283485,6.2222,6.1111
1.958125237,-2.16464367,0.04688003,7.4444,5.7778
-0.537517391,-2.651687844,1.124255322,4,6.3333
-2.502614942,2.212216138,0.291997945,1.2222,5.7778
1.91930369,-0.787610373,-1.824177204,6.7778,7
1.83720836,0.348235847,0.312154249,7,6
-2.985737273,0.956226997,0.163490436,1.6667,5.7778
2.508463845,2.694632537,0.49492189,7.6667,6.7778
-2.760582186,-1.052475205,-0.512543327,1.7778,6.8889
2.111479844,-2.359897874,-1.557185026,6.7778,3.2222
-1.341567651,0.281622378,2.128704256,2.4444,7.5556
-0.860464603,-0.219411061,1.444605715,5,6.4444
3.103566963,0.09963418,0.080759052,5,5.3333
-0.162987379,-2.189985951,-0.538498619,4.7778,5
0.07591084,2.781757339,0.793865542,2.5556,3.3333
-1.184867335,-1.894842327,-2.174128482,4.1111,5.6667
1.837575449,1.138639915,-0.896725239,5.3333,5.2222
2.253879811,1.982919407,0.239704388,6.1111,6
3.175998668,1.829400432,1.197323195,6.5556,6.4444
1.375587918,-0.120965792,1.994177758,6.3333,6
-2.294954364,0.141696079,-2.385679768,1.8889,5
-2.536310916,0.021238597,1.386170715,1.7778,6.1111
2.400514361,1.007764921,-1.268717347,6.8889,6.6667
-3.135100594,0.569654504,-0.640973683,1.5556,5.7778
0.474832339,1.672340652,-1.931184884,5.8889,4.1111
-1.980070414,0.479520211,1.75861077,3.2222,5
1.346936582,-1.289695653,-2.323077628,7.5556,6.4444
1.043318359,2.924453118,0.127300615,5.5556,5.4444
1.043271456,0.35449924,-2.650144715,7.8889,7.6667
1.030289212,3.212940747,-0.505289346,5.5556,6.2222
-1.518104066,-0.502609613,-1.278108581,6.5556,6.5556
-0.578764069,0.903998032,-2.543476503,3.7778,5.7778
-1.648248521,-2.219392105,1.611504792,3.7778,5.4444
-1.60316169,-1.212224737,2.417585931,3,7.1111
-1.296251978,0.028620146,2.734365007,3,5.4444
0.433702306,-2.118256942,0.611216185,3.6667,4.1111
1.859445251,-1.33953777,0.851776997,8.1111,7.2222
-0.854389205,-2.106638889,0.979879199,4.7778,6.3333
-0.184117593,2.253641549,1.940815732,4.2222,5.7778
