MDS1,MDS2,MDS3,valence,arousal,videoName
2.679353775,-0.230538657,0.908599227,-2.7778,0.5556,0001.mp4
1.170135106,-1.154584363,1.485965268,-0.2222,2.3333,0022.mp4
2.088594192,3.107248785,0.107738187,-1.8889,0.1111,0059.mp4
3.427196809,-0.428265386,0.443592181,-3.5556,-1,0062.mp4
-1.133192921,-2.124232412,0.70312636,1.1111,0.5556,0088.mp4
-1.366121844,-1.13340932,0.959680904,2.3333,2.7778,0176.mp4
2.067379778,-0.176659958,-2.080165564,-4,0,0187.mp4
3.100326128,-0.494010767,0.480319209,-3.1111,0.5556,0208.mp4
-0.461934309,-0.921127467,0.469339567,0.5556,1.2222,0283.mp4
-1.722874069,-0.495164086,1.329430691,1.4444,0,0360.mp4
-1.983668219,1.815115889,1.170288093,1.5556,0.2222,0404.mp4
2.008187988,-0.751557507,1.755390052,-1,1.7778,0500.mp4
-0.117732344,1.114762585,-1.705804756,-1.3333,0,0510.mp4
0.797431823,-0.619513759,-2.479900626,-3.2222,-0.3333,0512.mp4
-0.610994777,-0.436589579,-1.721222567,-0.7778,-0.7778,0523.mp4
3.487183212,0.148453492,0.515607532,-2.8889,0,0532.mp4
-2.246478483,0.691324218,0.64318842,3,1.5556,0534.mp4
-1.862662576,-1.366730699,1.852622577,2.4444,1.8889,0540.mp4
2.780567713,-0.013408566,1.457887605,-2.6667,0.1111,0554.mp4
-1.411782627,2.512398215,0.751618381,2.4444,1.7778,0570.mp4
-1.362320053,-1.276084181,-1.441101156,0.2222,1,0575.mp4
3.039443772,0.012868794,-1.225343929,-3.5556,-0.1111,0667.mp4
2.45206279,-1.153371991,-2.006311461,-3.2222,1,0865.mp4
1.513414184,-0.924020462,0.785320713,-1.3333,0.4444,0913.mp4
-2.610667631,1.562250357,0.019244985,2.6667,0.6667,0927.mp4
-2.098807113,-0.249779168,-1.525347856,1.7778,1.3333,0936.mp4
-1.208877696,2.341202772,-0.822954335,0.4444,0.5556,0951.mp4
-1.755413631,-0.088818304,1.161729081,2,0.8889,0960.mp4
1.745962644,2.83555572,-0.106669513,-2.2222,1.1111,0977.mp4
-1.594491262,-1.181143832,-0.839276216,-0.2222,0.8889,0990.mp4
-2.473173876,-0.70952565,-0.213066081,2.8889,0.8889,1009.mp4
0.685820401,-0.371850926,2.755456949,-1.4444,1.3333,1037.mp4
-1.84484555,0.419505173,1.890801262,3.7778,-0.1111,1071.mp4
-0.882596865,-0.951484121,-0.01876524,0.7778,0.1111,1078.mp4
-1.139348575,1.611184125,0.014047787,1.5556,1.4444,1082.mp4
-2.613813928,0.178730054,0.482278007,3,2,1086.mp4
-0.916924684,2.561166098,-1.294293183,1.2222,1.1111,1100.mp4
-1.929232944,1.042103707,0.445064684,2.4444,0.7778,1158.mp4
0.55078464,2.749127541,-0.900347334,-1,1.3333,1169.mp4
2.861938577,-0.597578642,-0.860425658,-3.7778,0.7778,1174.mp4
-1.813718315,-0.537218773,0.992935928,1.7778,2,1175.mp4
-3.257261712,-1.072370627,0.959215336,2,1,1210.mp4
3.340720732,-0.199134887,0.241039113,-3.3333,0.7778,1292.mp4
-2.005067974,-1.213292558,-1.760978251,2.6667,1.7778,1337.mp4
3.476756567,0.905921361,-0.776564442,-3.2222,1.8889,1362.mp4
-1.894554329,0.364129565,-0.918509423,1.7778,-1.7778,1372.mp4
1.838774928,-0.806726638,0.70637555,-2.5556,2.5556,1375.mp4
0.053529931,-0.546625895,1.574320443,0,1.4444,1440.mp4
-2.694904174,0.259053571,0.029240373,0,0.3333,1469.mp4
-0.609841219,3.312225309,-0.233635904,-0.2222,0,1528.mp4
-0.46255868,-0.881023457,-2.28579074,-2.4444,-1.6667,1532.mp4
1.076549249,-0.861217627,-0.92319073,-0.8889,0.6667,1544.mp4
-1.564481696,-0.383396388,-0.260677742,0.3333,0.2222,1567.mp4
-1.818477344,-1.664290958,-1.296446445,1.1111,1,1581.mp4
-1.777392862,-1.558104967,-0.830482488,1.5556,1.4444,1610.mp4
-1.768128971,-1.394915947,0.29428203,1.3333,1,1625.mp4
2.787502144,0.061424329,-0.22590064,-3.1111,0,1630.mp4
2.753797156,-0.811914051,1.035109491,-3.2222,1.1111,1632.mp4
-0.841136791,0.318429819,0.701131562,1.8889,1.6667,1693.mp4
3.216228032,0.160006017,-0.678512412,-3.4444,0.7778,1703.mp4
-1.301757078,-0.083662392,-0.24556519,0.8889,-0.8889,1760.mp4
2.488519046,-0.508557673,0.337955535,-1.7778,0,1768.mp4
-2.34493502,0.300022969,0.873724605,2.5556,1.4444,1789.mp4
-1.729308677,-1.638356305,-1.668961872,0.5556,0.4444,1791.mp4
-2.210363375,-0.717227828,-0.124113818,2.8889,2.6667,1826.mp4
-1.467895577,-0.878682983,-1.695076307,0.5556,1.2222,1939.mp4
1.979024069,0.429409693,-0.59875898,1.5556,1.5556,1941.mp4
1.973126284,-0.681454682,-1.448292632,-1.2222,0.7778,1943.mp4
0.467226253,-0.434727245,0.515756801,-1.2222,0.4444,2090.mp4
1.80298163,-1.644809481,2.078200604,-2,2.1111,2120.mp4
2.351966028,0.23914199,1.011464341,-2,0.4444,2135.mp4
-0.30351648,3.329856807,0.001772146,-1.3333,-0.8889,2136.mp4
-2.119752698,0.830793871,0.878341897,3.1111,2.2222,2138.mp4
0.255699793,2.433798713,0.557269888,-0.2222,1.3333,2148.mp4
1.014823574,-1.280050376,-0.164019873,-0.7778,0.7778,2151.mp4
