MDS1,MDS2,MDS3,valence,arousal,videoName
-2.866412357,-0.277564438,-0.625016117,-2.7778,0.5556,0001.mp4
-1.014064522,1.636933232,1.913555449,-0.2222,2.3333,0022.mp4
-2.302647696,-2.502821763,0.347007069,-1.8889,0.1111,0059.mp4
-3.638821899,0.246570255,0.404728801,-3.5556,-1,0062.mp4
1.29267622,1.909144973,1.646338179,1.1111,0.5556,0088.mp4
1.332164121,1.434541979,0.891819073,2.3333,2.7778,0176.mp4
-2.314452563,0.209545726,-1.974276612,-4,0,0187.mp4
-3.006502667,-0.427287458,0.115076985,-3.1111,0.5556,0208.mp4
0.328601498,-0.831580925,1.38691227,0.5556,1.2222,0283.mp4
1.690029038,1.196465454,0.329278663,1.4444,0,0360.mp4
2.021529652,-1.059206209,0.655536238,1.5556,0.2222,0404.mp4
-2.276013235,1.01986524,0.477552658,-1,1.7778,0500.mp4
-0.364425702,-0.990522944,-0.159874331,-1.3333,0,0510.mp4
-0.938581606,0.28332883,-2.859368777,-3.2222,-0.3333,0512.mp4
1.327835031,0.306908558,-1.256137673,-0.7778,-0.7778,0523.mp4
-3.322801161,0.396374651,-0.292225263,-2.8889,0,0532.mp4
2.49592832,-2.093968162,1.104130638,3,1.5556,0534.mp4
2.333998498,2.239504904,1.743815547,2.4444,1.8889,0540.mp4
-2.700614498,0.649585748,0.494775896,-2.6667,0.1111,0554.mp4
1.272051453,-2.78045825,1.172371841,2.4444,1.7778,0570.mp4
1.235474742,1.969127211,0.543612447,0.2222,1,0575.mp4
-3.223879101,-0.081013561,-0.94719352,-3.5556,-0.1111,0667.mp4
-2.9374769,0.21278718,-1.821515389,-3.2222,1,0865.mp4
-1.78899723,1.002703777,0.605998842,-1.3333,0.4444,0913.mp4
2.903576698,-2.032215136,-0.20974644,2.6667,0.6667,0927.mp4
1.58437601,0.665755012,-2.302531279,1.7778,1.3333,0936.mp4
1.280313164,-2.519021112,0.900404913,0.4444,0.5556,0951.mp4
2.01385869,0.853704894,-0.636123254,2,0.8889,0960.mp4
-2.237367591,-2.721537924,-0.099697407,-2.2222,1.1111,0977.mp4
1.680031151,1.031764887,1.098030334,-0.2222,0.8889,0990.mp4
3.041640346,0.993899201,0.854913219,2.8889,0.8889,1009.mp4
-0.369894254,1.822364676,2.026070236,-1.4444,1.3333,1037.mp4
1.863341601,-0.347674437,-1.434748703,3.7778,-0.1111,1071.mp4
0.992692405,0.633353766,-2.240417213,0.7778,0.1111,1078.mp4
1.226295742,-1.501246613,1.220882814,1.5556,1.4444,1082.mp4
2.749378744,-1.095537938,-0.048441873,3,2,1086.mp4
0.741588563,-1.584280962,-0.225829527,1.2222,1.1111,1100.mp4
1.931837175,-1.193154234,1.135150318,2.4444,0.7778,1158.mp4
-0.84773296,-2.917694579,0.00617293,-1,1.3333,1169.mp4
-2.791846095,0.539245119,-0.46446423,-3.7778,0.7778,1174.mp4
2.25493531,1.579236134,-0.788388987,1.7778,2,1175.mp4
2.977345921,0.398787028,1.586344695,2,1,1210.mp4
-3.587632017,-0.039664314,0.06793669,-3.3333,0.7778,1292.mp4
2.106769333,1.130934304,-2.1317055,2.6667,1.7778,1337.mp4
-3.544766475,-0.760881222,-0.716035408,-3.2222,1.8889,1362.mp4
1.907511987,-0.326817634,-1.624294383,1.7778,-1.7778,1372.mp4
-2.132642975,1.625129794,1.242139731,-2.5556,2.5556,1375.mp4
-0.170410076,1.343030371,2.206254062,0,1.4444,1440.mp4
3.118779638,-0.795916447,-0.456732793,0,0.3333,1469.mp4
0.745469808,-2.429059152,0.239043783,-0.2222,0,1528.mp4
0.22584354,1.064952689,0.050719226,-2.4444,-1.6667,1532.mp4
-1.271913684,-0.455633525,0.407954447,-0.8889,0.6667,1544.mp4
1.890854646,-0.449470184,1.191169441,0.3333,0.2222,1567.mp4
1.581714752,0.622420139,-1.609502918,1.1111,1,1581.mp4
1.42463353,1.143426847,-1.732704491,1.5556,1.4444,1610.mp4
1.587252684,1.697909968,1.372489152,1.3333,1,1625.mp4
-2.662270097,-0.457000215,-1.71080344,-3.1111,0,1630.mp4
-3.291854873,0.705544158,0.450736921,-3.2222,1.1111,1632.mp4
1.189952714,0.216796648,0.405006112,1.8889,1.6667,1693.mp4
-3.313046056,-0.294342873,0.083948047,-3.4444,0.7778,1703.mp4
1.714721917,-0.717495089,-1.599190837,0.8889,-0.8889,1760.mp4
-2.421228209,0.126895182,0.75969158,-1.7778,0,1768.mp4
2.410852926,-0.060732975,-1.109609498,2.5556,1.4444,1789.mp4
1.66312273,1.475242522,-1.468145028,0.5556,0.4444,1791.mp4
2.327972978,0.090465636,-0.973626565,2.8889,2.6667,1826.mp4
1.75611791,1.833173667,-1.941279763,0.5556,1.2222,1939.mp4
-1.731987243,0.194094461,0.548102047,1.5556,1.5556,1941.mp4
-1.23623514,0.177841475,-1.929971144,-1.2222,0.7778,1943.mp4
-0.736567363,1.249235495,1.123017639,-1.2222,0.4444,2090.mp4
-2.124082848,0.45694177,1.181970386,-2,2.1111,2120.mp4
-2.564777748,0.808750254,0.899600566,-2,0.4444,2135.mp4
0.346194158,-3.689887262,0.218502558,-1.3333,-0.8889,2136.mp4
2.237195088,-1.180159019,0.89949927,3.1111,2.2222,2138.mp4
-0.579063686,-1.367328006,1.054257595,-0.2222,1.3333,2148.mp4
-0.495449904,0.786890746,0.327079055,-0.7778,0.7778,2151.mp4
