video,ID,time,valence,arousal,videoName
0001,1,4,2.2222,5.5556,0001.mp4
0022,2,15,4.7778,7.3333,0022.mp4
0059,3,2,3.1111,5.1111,0059.mp4
0062,4,10,1.4444,4,0062.mp4
0088,5,6,6.1111,5.5556,0088.mp4
0176,6,14,7.3333,7.7778,0176.mp4
0187,7,3,1,5,0187.mp4
0208,8,1,1.8889,5.5556,0208.mp4
0283,9,15,5.5556,6.2222,0283.mp4
0360,10,4,6.4444,5,0360.mp4
0404,11,15,6.5556,5.2222,0404.mp4
0500,12,18,4,6.7778,0500.mp4
0510,13,8,3.6667,5,0510.mp4
0512,14,1,1.7778,4.6667,0512.mp4
0523,15,4,4.2222,4.2222,0523.mp4
0532,16,6,2.1111,5,0532.mp4
0534,17,12,8,6.5556,0534.mp4
0540,18,6,7.4444,6.8889,0540.mp4
0554,19,1,2.3333,5.1111,0554.mp4
0570,20,17,7.4444,6.7778,0570.mp4
0575,21,4,5.2222,6,0575.mp4
0667,22,7,1.4444,4.8889,0667.mp4
0865,23,5,1.7778,6,0865.mp4
0913,24,16,3.6667,5.4444,0913.mp4
0927,25,5,7.6667,5.6667,0927.mp4
0936,26,4,6.7778,6.3333,0936.mp4
0951,27,2,5.4444,5.5556,0951.mp4
0960,28,40,7,5.8889,0960.mp4
0977,29,2,2.7778,6.1111,0977.mp4
0990,30,10,4.7778,5.8889,0990.mp4
1009,31,34,7.8889,5.8889,1009.mp4
1037,32,4,3.5556,6.3333,1037.mp4
1071,33,2,8.7778,4.8889,1071.mp4
1078,34,1,5.7778,5.1111,1078.mp4
1082,35,8,6.5556,6.4444,1082.mp4
1086,36,4,8,7,1086.mp4
1100,37,7,6.2222,6.1111,1100.mp4
1158,38,6,7.4444,5.7778,1158.mp4
1169,39,2,4,6.3333,1169.mp4
1174,40,2,1.2222,5.7778,1174.mp4
1175,41,39,6.7778,7,1175.mp4
1210,42,2,7,6,1210.mp4
1292,43,8,1.6667,5.7778,1292.mp4
1337,44,3,7.6667,6.7778,1337.mp4
1362,45,13,1.7778,6.8889,1362.mp4
1372,46,4,6.7778,3.2222,1372.mp4
1375,47,2,2.4444,7.5556,1375.mp4
1440,48,7,5,6.4444,1440.mp4
1469,49,6,5,5.3333,1469.mp4
1528,50,15,4.7778,5,1528.mp4
1532,51,1,2.5556,3.3333,1532.mp4
1544,52,2,4.1111,5.6667,1544.mp4
1567,53,3,5.3333,5.2222,1567.mp4
1581,54,8,6.1111,6,1581.mp4
1610,55,2,6.5556,6.4444,1610.mp4
1625,56,8,6.3333,6,1625.mp4
1630,57,8,1.8889,5,1630.mp4
1632,58,4,1.7778,6.1111,1632.mp4
1693,59,5,6.8889,6.6667,1693.mp4
1703,60,6,1.5556,5.7778,1703.mp4
1760,61,8,5.8889,4.1111,1760.mp4
1768,62,5,3.2222,5,1768.mp4
1789,63,26,7.5556,6.4444,1789.mp4
1791,64,1,5.5556,5.4444,1791.mp4
1826,65,8,7.8889,7.6667,1826.mp4
1939,66,1,5.5556,6.2222,1939.mp4
1941,67,5,6.5556,6.5556,1941.mp4
1943,68,2,3.7778,5.7778,1943.mp4
2090,69,12,3.7778,5.4444,2090.mp4
2120,70,6,3,7.1111,2120.mp4
2135,71,8,3,5.4444,2135.mp4
2136,72,3,3.6667,4.1111,2136.mp4
2138,73,6,8.1111,7.2222,2138.mp4
2148,74,9,4.7778,6.3333,2148.mp4
2151,75,9,4.2222,5.7778,2151.mp4
