MDS1,MDS2,MDS3,videoName,valence,arousal
2.813588768,-0.031106201,-0.128633763,0001.mp4,-2.7778,0.5556
1.039982199,-1.450841829,-1.748051398,0022.mp4,-0.2222,2.3333
2.112333234,2.872816459,0.111576775,0059.mp4,-1.8889,0.1111
3.522738091,-0.435588722,-0.483415136,0062.mp4,-3.5556,-1
-1.278915295,-1.761291443,-1.545013012,0088.mp4,1.1111,0.5556
-1.283867359,-1.307468365,-0.758738939,0176.mp4,2.3333,2.7778
2.277848115,-0.408484731,2.383430183,0187.mp4,-4,0
3.113045263,0.00549509,-0.204915151,0208.mp4,-3.1111,0.5556
-0.391333903,0.013633028,-1.085587841,0283.mp4,0.5556,1.2222
-1.736785234,-0.936811805,-0.733711189,0360.mp4,1.4444,0
-2.029813755,1.282400375,-0.797142084,0404.mp4,1.5556,0.2222
2.1588203,-0.931083649,-1.176913453,0500.mp4,-1,1.7778
0.09000521,1.059035948,0.861350824,0510.mp4,-1.3333,0
0.892519579,-0.340484173,2.817020706,0512.mp4,-3.2222,-0.3333
-1.037797483,-0.43942158,1.076354355,0523.mp4,-0.7778,-0.7778
3.449984796,-0.092258021,0.147113324,0532.mp4,-2.8889,0
-2.441631112,1.304451236,-0.984886087,0534.mp4,3,1.5556
-2.164953757,-2.061129279,-1.799196407,0540.mp4,2.4444,1.8889
2.780220643,-0.343683702,-0.905209925,0554.mp4,-2.6667,0.1111
-1.32652127,2.639779797,-1.179564543,0570.mp4,2.4444,1.7778
-1.240416867,-1.605826815,0.130864212,0575.mp4,0.2222,1
3.147827084,0.040819676,1.01483966,0667.mp4,-3.5556,-0.1111
2.751209589,-0.55079424,1.95872569,0865.mp4,-3.2222,1
1.747752475,-0.975528218,-0.583043168,0913.mp4,-1.3333,0.4444
-2.745693639,1.884431575,0.331662101,0927.mp4,2.6667,0.6667
-1.789433265,-0.406805771,2.126344448,0936.mp4,1.7778,1.3333
-1.25250354,2.508642119,-0.200249482,0951.mp4,0.4444,0.5556
-1.814220326,-0.704287265,0.064174545,0960.mp4,2,0.8889
1.917739104,2.998745476,-0.026637166,0977.mp4,-2.2222,1.1111
-1.6734525,-0.960701251,-0.397075194,0990.mp4,-0.2222,0.8889
-2.690558183,-0.952407587,-0.728907533,1009.mp4,2.8889,0.8889
0.484827656,-1.182293263,-2.197090486,1037.mp4,-1.4444,1.3333
-1.935542207,0.340177978,0.435138148,1071.mp4,3.7778,-0.1111
-0.999347988,-0.790857199,1.74813629,1078.mp4,0.7778,0.1111
-1.2650676,1.603164059,-0.985846566,1082.mp4,1.5556,1.4444
-2.657171648,0.730517935,-0.32622783,1086.mp4,3,2
-0.829817539,2.266985809,0.530878853,1100.mp4,1.2222,1.1111
-1.930084518,1.230141343,-1.032634078,1158.mp4,2.4444,0.7778
0.768088961,2.924783177,0.232929161,1169.mp4,-1,1.3333
2.879533577,-0.591641681,0.608131442,1174.mp4,-3.7778,0.7778
-2.008058692,-1.104578027,0.188300027,1175.mp4,1.7778,2
-3.053009349,-0.530042958,-1.248163088,1210.mp4,2,1
3.444151487,0.033732116,-0.025482224,1292.mp4,-3.3333,0.7778
-2.07458223,-1.053795314,2.140740288,1337.mp4,2.6667,1.7778
3.526718835,0.748936618,0.838801425,1362.mp4,-3.2222,1.8889
-1.883379274,0.304167065,1.440330833,1372.mp4,1.7778,-1.7778
1.956374765,-1.216638644,-1.295516627,1375.mp4,-2.5556,2.5556
0.197185913,-1.098899665,-1.928927047,1440.mp4,0,1.4444
-2.926834632,0.440548754,0.086237403,1469.mp4,0,0.3333
-0.808619479,2.79509855,0.052981636,1528.mp4,-0.2222,0
-0.275575856,-0.856258044,0.930558765,1532.mp4,-2.4444,-1.6667
1.200057826,0.035996403,0.156422176,1544.mp4,-0.8889,0.6667
-1.782529599,-0.013971024,-0.692272082,1567.mp4,0.3333,0.2222
-1.746523393,-1.061037386,1.207846777,1581.mp4,1.1111,1
-1.615213186,-1.164813233,1.534824,1610.mp4,1.5556,1.4444
-1.639373116,-1.58970121,-1.063193152,1625.mp4,1.3333,1
2.879837755,0.095984027,1.33185714,1630.mp4,-3.1111,0
3.042304578,-0.512060228,-0.684775844,1632.mp4,-3.2222,1.1111
-1.031000401,-0.096929843,-0.739504651,1693.mp4,1.8889,1.6667
3.205023809,0.191768567,0.055476256,1703.mp4,-3.4444,0.7778
-1.485093675,0.474940168,1.265943373,1760.mp4,0.8889,-0.8889
2.486188448,-0.140176282,-0.577821735,1768.mp4,-1.7778,0
-2.46484176,0.086160661,0.678709475,1789.mp4,2.5556,1.4444
-1.732370857,-1.546201282,1.913715182,1791.mp4,0.5556,0.4444
-2.259307399,-0.477245763,0.974861081,1826.mp4,2.8889,2.6667
-1.636936506,-1.449145443,1.836268535,1939.mp4,0.5556,1.2222
1.794698871,0.200860978,-0.435688918,1941.mp4,1.5556,1.5556
1.722747745,-0.531979797,1.760296414,1943.mp4,-1.2222,0.7778
0.537649841,-0.870570342,-1.140834618,2090.mp4,-1.2222,0.4444
1.973450277,-1.135350625,-1.674864978,2120.mp4,-2,2.1111
2.43602508,-0.499740228,-1.143457679,2135.mp4,-2,0.4444
-0.263903011,3.459797495,-0.455759282,2136.mp4,-1.3333,-0.8889
-2.19780785,0.856404143,-0.835664417,2138.mp4,3.1111,2.2222
0.44008182,1.770046769,-0.845729921,2148.mp4,-0.2222,1.3333
0.60932756,-0.990531271,-0.176494811,2151.mp4,-0.7778,0.7778
